md_id,Station Name,Year,Month,Day,Max Temp (°C),Min Temp (°C),Total Precip (mm)
1,BARRIE-ORO,2019,January,1,0.8,-12.4,0.9
2,BARRIE-ORO,2019,January,2,-4.8,-15.7,5.1
3,BARRIE-ORO,2019,January,3,-0.8,-6.9,0.3
4,BARRIE-ORO,2019,January,4,5.1,-6,0.2
5,BARRIE-ORO,2019,January,5,2.1,-2.8,0
6,BARRIE-ORO,2019,January,6,1.8,-11.5,0
7,BARRIE-ORO,2019,January,7,2,-11.6,5.3
8,BARRIE-ORO,2019,January,8,5,0.7,1.9
9,BARRIE-ORO,2019,January,9,1.5,-7.7,0.6
10,BARRIE-ORO,2019,January,10,-7.7,-16.8,0.4
11,BARRIE-ORO,2019,January,11,-11,-19.3,0
12,BARRIE-ORO,2019,January,12,-8.8,-16,0
13,BARRIE-ORO,2019,January,13,-8.5,-17.5,0.2
14,BARRIE-ORO,2019,January,14,-2.5,-15.8,0
15,BARRIE-ORO,2019,January,15,-0.6,-4,0.2
16,BARRIE-ORO,2019,January,16,-1.4,-18.3,1.3
17,BARRIE-ORO,2019,January,17,-6.5,-19.1,0.2
18,BARRIE-ORO,2019,January,18,N/A,N/A,N/A
19,BARRIE-ORO,2019,January,19,-16.2,-19.9,0.9
20,BARRIE-ORO,2019,January,20,-18.7,-25.4,0.2
21,BARRIE-ORO,2019,January,21,-15.4,-26.7,0
22,BARRIE-ORO,2019,January,22,-2.9,-23.8,0
23,BARRIE-ORO,2019,January,23,4.8,-3.6,18.3
24,BARRIE-ORO,2019,January,24,0.8,-7.9,0.8
25,BARRIE-ORO,2019,January,25,-4.7,-12.6,0.9
26,BARRIE-ORO,2019,January,26,-10.5,-17.9,0.2
27,BARRIE-ORO,2019,January,27,-9.4,-19.4,2.8
28,BARRIE-ORO,2019,January,28,-15.9,-22.5,1.6
29,BARRIE-ORO,2019,January,29,-6.4,-16.7,0.7
30,BARRIE-ORO,2019,January,30,-16.3,-21.3,0.2
31,BARRIE-ORO,2019,January,31,-14,-19.7,9.2
32,BARRIE-ORO,2019,February,1,-10,-20.4,0.3
33,BARRIE-ORO,2019,February,2,-2.3,-19.3,0
34,BARRIE-ORO,2019,February,3,5.7,-3,2.8
35,BARRIE-ORO,2019,February,4,9.8,1.8,7.6
36,BARRIE-ORO,2019,February,5,6.5,-10.1,0.2
37,BARRIE-ORO,2019,February,6,-5,-9.4,0.8
38,BARRIE-ORO,2019,February,7,1.9,-6.4,0.7
39,BARRIE-ORO,2019,February,8,4,-10.3,1.1
40,BARRIE-ORO,2019,February,9,-7.9,-11.1,1.1
41,BARRIE-ORO,2019,February,10,-4.8,-8.9,1.2
42,BARRIE-ORO,2019,February,11,-5.8,-13.7,1.1
43,BARRIE-ORO,2019,February,12,-7.6,-12.7,10.9
44,BARRIE-ORO,2019,February,13,-1.2,-8.1,1.2
45,BARRIE-ORO,2019,February,14,-1.1,-8.3,2
46,BARRIE-ORO,2019,February,15,2.1,-5.9,3.2
47,BARRIE-ORO,2019,February,16,-5.9,-18.7,0.2
48,BARRIE-ORO,2019,February,17,-8.5,-21.7,0.2
49,BARRIE-ORO,2019,February,18,-7.6,-18.6,0.2
50,BARRIE-ORO,2019,February,19,-6.2,-20.4,0
51,BARRIE-ORO,2019,February,20,-1.5,-20.8,1.6
52,BARRIE-ORO,2019,February,21,1.9,-3.3,0.8
53,BARRIE-ORO,2019,February,22,-0.6,-9.5,0
54,BARRIE-ORO,2019,February,23,1.2,-14.1,0
55,BARRIE-ORO,2019,February,24,5.1,-4.2,9.7
56,BARRIE-ORO,2019,February,25,-4.1,-10.6,1.8
57,BARRIE-ORO,2019,February,26,-10.6,-18.5,0.2
58,BARRIE-ORO,2019,February,27,-13.2,-20.6,1.8
59,BARRIE-ORO,2019,February,28,-8.1,-25.8,0.2
60,BARRIE-ORO,2019,March,1,-2.7,-20.7,0
61,BARRIE-ORO,2019,March,2,-2.3,-9.7,2.7
62,BARRIE-ORO,2019,March,3,-3.7,-14.9,0.2
63,BARRIE-ORO,2019,March,4,-9.7,-20.4,0.2
64,BARRIE-ORO,2019,March,5,-9.6,-18.3,1.3
65,BARRIE-ORO,2019,March,6,-10.9,-23,0.4
66,BARRIE-ORO,2019,March,7,-8.6,-20.4,0.2
67,BARRIE-ORO,2019,March,8,-2,-22.3,0
68,BARRIE-ORO,2019,March,9,-0.3,-18.4,0
69,BARRIE-ORO,2019,March,10,4.2,-2.3,9.1
70,BARRIE-ORO,2019,March,11,1.3,-4.7,0.2
71,BARRIE-ORO,2019,March,12,1,-7.3,0
72,BARRIE-ORO,2019,March,13,1.4,-6.2,2.9
73,BARRIE-ORO,2019,March,14,10.5,0,5.9
74,BARRIE-ORO,2019,March,15,7.7,-2.7,3.8
75,BARRIE-ORO,2019,March,16,-2.6,-6.6,0.5
76,BARRIE-ORO,2019,March,17,-1.5,-10,0.2
